Camilla,Murphy,GDD,0,698592,CamillaMur3938,student,CamillaMur3938@myschool.edu,3/18/2017,3/18/2018
Christian,Simmons,art,0,786894,ChristianSim6158,student,ChristianSim6158@myschool.edu,3/18/2017,3/18/2018
Lily,Flores,Japanese,0,769631,LilyFlo5928,student,LilyFlo5928@myschool.edu,3/18/2017,3/18/2018
Ethan,Simmons,film,0,437347,EthanSim3266,student,EthanSim3266@myschool.edu,3/18/2017,3/18/2018
Liam,Barnes,art,0,274834,LiamBar3671,student,LiamBar3671@myschool.edu,3/18/2017,3/18/2018
Daniel,Butler,French,0,256556,DanielBut8647,student,DanielBut8647@myschool.edu,3/18/2017,3/18/2018
Daniel,Butler,GDD,0,431612,DanielBut6927,student,DanielBut6927@myschool.edu,3/18/2017,3/18/2018
Aiden,Ross,art,0,432329,AidenRos1354,student,AidenRos1354@myschool.edu,3/18/2017,3/18/2018
Elizabeth,Alexander,gender studies,0,741334,ElizabethAle2773,student,ElizabethAle2773@myschool.edu,3/18/2017,3/18/2018
Amelia,Cook,film,0,447279,AmeliaCoo4592,student,AmeliaCoo4592@myschool.edu,3/18/2017,3/18/2018
Grayson,Simmons,film,0,984882,GraysonSim7537,student,GraysonSim7537@myschool.edu,3/18/2017,3/18/2018
Eliana,Brooks,undeclared,0,769833,ElianaBro3879,student,ElianaBro3879@myschool.edu,3/18/2017,3/18/2018
Aiden,Hughes,Computer Science,0,137956,AidenHug4213,student,AidenHug4213@myschool.edu,3/18/2017,3/18/2018
Brooklyn,Diaz,Computer Science,0,653657,BrooklynDia4521,student,BrooklynDia4521@myschool.edu,3/18/2017,3/18/2018
Isabella,Peterson,Japanese,0,924379,IsabellaPet8726,student,IsabellaPet8726@myschool.edu,3/18/2017,3/18/2018
Andrew,Long,art,0,113829,AndrewLon9353,student,AndrewLon9353@myschool.edu,3/18/2017,3/18/2018
Abigail,Morris,Japanese,0,216243,AbigailMor2775,student,AbigailMor2775@myschool.edu,3/18/2017,3/18/2018
Isaiah,Henderson,Japanese,0,429614,IsaiahHen3969,student,IsaiahHen3969@myschool.edu,3/18/2017,3/18/2018
Lincoln,Ross,physical fitness,0,257788,LincolnRos3397,student,LincolnRos3397@myschool.edu,3/18/2017,3/18/2018
Hailey,Barnes,GDD,0,251379,HaileyBar2933,student,HaileyBar2933@myschool.edu,3/18/2017,3/18/2018
Emily,Sanchez,Information Technology,0,814434,EmilySan3312,student,EmilySan3312@myschool.edu,3/18/2017,3/18/2018
Abigail,Cooper,Information Technology,0,993997,AbigailCoo1718,student,AbigailCoo1718@myschool.edu,3/18/2017,3/18/2018
Ava,Bell,hotel tourism,0,829888,AvaBel9349,student,AvaBel9349@myschool.edu,3/18/2017,3/18/2018
Addison,Powell,GDD,0,961216,AddisonPow8957,student,AddisonPow8957@myschool.edu,3/18/2017,3/18/2018
Matthew	Arianna,Ross,Computer Science,0,213485,Matthew	AriannaRos5485,student,Matthew	AriannaRos5485@myschool.edu,3/18/2017,3/18/2018
Evelyn,Cook,Computer Science,0,345959,EvelynCoo7268,student,EvelynCoo7268@myschool.edu,3/18/2017,3/18/2018
Grayson,Murphy,undeclared,0,963212,GraysonMur3318,student,GraysonMur3318@myschool.edu,3/18/2017,3/18/2018
Emily,Ross,physical fitness,0,242554,EmilyRos1359,student,EmilyRos1359@myschool.edu,3/18/2017,3/18/2018
Charlotte,Rivera,GDD,0,364719,CharlotteRiv4272,student,CharlotteRiv4272@myschool.edu,3/18/2017,3/18/2018
Hannah,Morris,Information Technology,0,696564,HannahMor9594,student,HannahMor9594@myschool.edu,3/18/2017,3/18/2018
Sebastian,Griffin,hotel tourism,0,491989,SebastianGri6869,student,SebastianGri6869@myschool.edu,3/18/2017,3/18/2018
Olivia,Morris,hotel tourism,0,539739,OliviaMor9758,student,OliviaMor9758@myschool.edu,3/18/2017,3/18/2018
Maria,Gonzales,gender studies,0,833781,MariaGon9686,student,MariaGon9686@myschool.edu,3/18/2017,3/18/2018
Landon,James,Information Technology,0,368994,LandonJam2923,student,LandonJam2923@myschool.edu,3/18/2017,3/18/2018
Layla,Sanders,hotel tourism,0,665566,LaylaSan2956,student,LaylaSan2956@myschool.edu,3/18/2017,3/18/2018
Ryan,Gray,Computer Science,0,523842,RyanGra6527,student,RyanGra6527@myschool.edu,3/18/2017,3/18/2018
Dylan,Wood,art,0,212653,DylanWoo7178,student,DylanWoo7178@myschool.edu,3/18/2017,3/18/2018
Adeline,Ross,GDD,0,515437,AdelineRos8995,student,AdelineRos8995@myschool.edu,3/18/2017,3/18/2018
Nicholas,Rivera,gender studies,0,793589,NicholasRiv8955,student,NicholasRiv8955@myschool.edu,3/18/2017,3/18/2018
Nathan,Flores,gender studies,0,146421,NathanFlo9866,student,NathanFlo9866@myschool.edu,3/18/2017,3/18/2018
Andrew,Collins Stewart,Mathmatics,0,425253,AndrewCol5988,student,AndrewCol5988@myschool.edu,3/18/2017,3/18/2018
Eli,Rivera,physical fitness,0,376922,EliRiv7727,student,EliRiv7727@myschool.edu,3/18/2017,3/18/2018
Mason,Long,physical fitness,0,842272,MasonLon6774,student,MasonLon6774@myschool.edu,3/18/2017,3/18/2018
Gabriel,Peterson,Information Technology,0,277249,GabrielPet1433,student,GabrielPet1433@myschool.edu,3/18/2017,3/18/2018
Grayson,Cook,film,0,712385,GraysonCoo7384,student,GraysonCoo7384@myschool.edu,3/18/2017,3/18/2018
Mia,Cooper,GDD,0,826637,MiaCoo6756,student,MiaCoo6756@myschool.edu,3/18/2017,3/18/2018
Eliana,Price,Japanese,0,134587,ElianaPri6735,student,ElianaPri6735@myschool.edu,3/18/2017,3/18/2018
Sebastian,Hughes,gender studies,0,512548,SebastianHug4572,student,SebastianHug4572@myschool.edu,3/18/2017,3/18/2018
Matthew	Arianna,Cook,undeclared,0,616451,Matthew	AriannaCoo6984,student,Matthew	AriannaCoo6984@myschool.edu,3/18/2017,3/18/2018
Liam,Price,GDD,0,973126,LiamPri3812,student,LiamPri3812@myschool.edu,3/18/2017,3/18/2018
Nathan,Butler,Japanese,0,663972,NathanBut7884,student,NathanBut7884@myschool.edu,3/18/2017,3/18/2018
